era,e_migdppcln,logpop,l_pwd_a,Elr,W4,e_peaveduc
2,"(0.415, 0.864]",,,,"(0.312, 0.492]","(1.494, 4.015]"
2,"(0.415, 0.864]",,,,"(0.492, 0.706]","(1.494, 4.015]"
2,"(0.864, 1.841]",,,,"(0.492, 0.706]","(1.494, 4.015]"
2,"(0.864, 1.841]",,,,"(0.492, 0.706]","(1.494, 4.015]"
2,"(0.864, 1.841]",,,,"(0.492, 0.706]","(1.494, 4.015]"
2,"(0.864, 1.841]",,,,"(0.492, 0.706]","(1.494, 4.015]"
2,"(0.864, 1.841]",,,,"(0.492, 0.706]","(1.494, 4.015]"
2,"(0.864, 1.841]",,,,"(0.492, 0.706]","(1.494, 4.015]"
2,"(0.864, 1.841]",,,,"(0.492, 0.706]","(1.494, 4.015]"
2,"(0.864, 1.841]",,,,"(0.492, 0.706]","(1.494, 4.015]"
2,"(0.864, 1.841]",,,,"(0.492, 0.706]","(1.494, 4.015]"
2,"(0.864, 1.841]",,,,"(0.492, 0.706]","(1.494, 4.015]"
3,"(0.864, 1.841]",,,"(0.982, 1.002]","(0.492, 0.706]","(1.494, 4.015]"
3,"(0.864, 1.841]",,,"(0.982, 1.002]","(0.492, 0.706]","(1.494, 4.015]"
3,"(0.864, 1.841]",,,"(0.982, 1.002]","(0.492, 0.706]","(1.494, 4.015]"
3,"(0.864, 1.841]",,,"(0.982, 1.002]","(0.492, 0.706]","(1.494, 4.015]"
3,"(0.864, 1.841]",,,"(0.982, 1.002]","(0.492, 0.706]","(1.494, 4.015]"
3,"(0.864, 1.841]",,,"(0.982, 1.002]","(0.492, 0.706]","(1.494, 4.015]"
3,"(0.864, 1.841]",,,"(0.982, 1.002]","(0.492, 0.706]","(1.494, 4.015]"
3,"(0.864, 1.841]",,,"(0.982, 1.002]","(0.492, 0.706]","(1.494, 4.015]"
3,"(0.864, 1.841]",,,"(0.982, 1.002]","(0.492, 0.706]","(1.494, 4.015]"
3,"(0.864, 1.841]",,,"(0.982, 1.002]","(0.492, 0.706]","(1.494, 4.015]"
3,"(0.864, 1.841]",,,"(0.982, 1.002]","(0.492, 0.706]","(1.494, 4.015]"
3,"(0.864, 1.841]",,,"(0.982, 1.002]","(0.492, 0.706]","(1.494, 4.015]"
3,"(0.864, 1.841]",,,"(0.982, 1.002]","(0.492, 0.706]","(1.494, 4.015]"
3,"(0.864, 1.841]",,,"(0.982, 1.002]","(0.492, 0.706]","(1.494, 4.015]"
3,"(0.864, 1.841]","(16.862, 21.069]",,"(0.982, 1.002]","(0.492, 0.706]","(1.494, 4.015]"
3,"(0.864, 1.841]","(16.862, 21.069]",,"(0.982, 1.002]","(0.492, 0.706]","(1.494, 4.015]"
3,"(0.864, 1.841]","(16.862, 21.069]",,"(0.982, 1.002]","(0.492, 0.706]","(1.494, 4.015]"
3,"(0.864, 1.841]","(16.862, 21.069]",,"(0.982, 1.002]","(0.492, 0.706]","(1.494, 4.015]"
3,"(1.841, 5.054]","(16.862, 21.069]",,"(0.982, 1.002]","(0.492, 0.706]","(1.494, 4.015]"
3,"(1.841, 5.054]","(16.862, 21.069]",,"(0.982, 1.002]","(0.492, 0.706]","(1.494, 4.015]"
3,"(1.841, 5.054]","(16.862, 21.069]",,"(0.982, 1.002]","(0.492, 0.706]","(1.494, 4.015]"
3,"(1.841, 5.054]","(16.862, 21.069]",,"(0.982, 1.002]","(0.492, 0.706]","(4.015, 7.23]"
3,"(1.841, 5.054]","(16.862, 21.069]",,"(0.982, 1.002]","(0.492, 0.706]","(4.015, 7.23]"
3,"(1.841, 5.054]","(16.862, 21.069]",,"(0.982, 1.002]","(0.492, 0.706]","(4.015, 7.23]"
3,"(1.841, 5.054]","(16.862, 21.069]",,"(0.982, 1.002]","(0.492, 0.706]","(4.015, 7.23]"
3,"(1.841, 5.054]","(16.862, 21.069]",,"(0.982, 1.002]","(0.492, 0.706]","(4.015, 7.23]"
3,"(1.841, 5.054]","(16.862, 21.069]",,"(0.982, 1.002]","(0.492, 0.706]","(4.015, 7.23]"
3,"(1.841, 5.054]","(16.862, 21.069]",,"(0.982, 1.002]","(0.492, 0.706]","(4.015, 7.23]"
3,"(1.841, 5.054]","(16.862, 21.069]",,"(0.982, 1.002]","(0.492, 0.706]","(4.015, 7.23]"
3,"(1.841, 5.054]","(16.862, 21.069]",,"(0.982, 1.002]","(0.492, 0.706]","(4.015, 7.23]"
3,"(1.841, 5.054]","(16.862, 21.069]",,"(0.982, 1.002]","(0.492, 0.706]","(4.015, 7.23]"
3,"(1.841, 5.054]","(16.862, 21.069]",,"(0.982, 1.002]","(0.492, 0.706]","(4.015, 7.23]"
3,"(1.841, 5.054]","(16.862, 21.069]",,"(0.982, 1.002]","(0.492, 0.706]","(4.015, 7.23]"
3,"(1.841, 5.054]","(16.862, 21.069]",,"(0.982, 1.002]","(0.492, 0.706]","(4.015, 7.23]"
3,"(1.841, 5.054]","(16.862, 21.069]",,"(0.982, 1.002]","(0.492, 0.706]","(4.015, 7.23]"
3,"(1.841, 5.054]","(16.862, 21.069]",,"(0.982, 1.002]","(0.492, 0.706]","(4.015, 7.23]"
3,"(1.841, 5.054]","(16.862, 21.069]",,"(0.982, 1.002]","(0.492, 0.706]","(4.015, 7.23]"
3,"(1.841, 5.054]","(16.862, 21.069]",,"(0.982, 1.002]","(0.492, 0.706]","(4.015, 7.23]"
3,"(1.841, 5.054]","(16.862, 21.069]",,"(0.982, 1.002]","(0.492, 0.706]","(4.015, 7.23]"
3,"(1.841, 5.054]","(16.862, 21.069]",,"(0.982, 1.002]","(0.492, 0.706]","(4.015, 7.23]"
3,"(1.841, 5.054]","(16.862, 21.069]",,"(0.982, 1.002]","(0.492, 0.706]","(4.015, 7.23]"
3,"(1.841, 5.054]","(16.862, 21.069]",,"(0.982, 1.002]","(0.492, 0.706]","(4.015, 7.23]"
3,"(1.841, 5.054]","(16.862, 21.069]",,"(0.982, 1.002]","(0.492, 0.706]","(4.015, 7.23]"
3,"(1.841, 5.054]","(16.862, 21.069]",,"(0.982, 1.002]","(0.492, 0.706]","(4.015, 7.23]"
3,"(1.841, 5.054]","(16.862, 21.069]",,"(0.982, 1.002]","(0.492, 0.706]","(4.015, 7.23]"
3,"(1.841, 5.054]","(16.862, 21.069]",,"(0.982, 1.002]","(0.492, 0.706]","(4.015, 7.23]"
3,"(1.841, 5.054]","(16.862, 21.069]",,"(0.982, 1.002]","(0.492, 0.706]","(4.015, 7.23]"
3,"(1.841, 5.054]","(16.862, 21.069]",,"(0.982, 1.002]","(0.492, 0.706]","(7.23, 13.3]"
3,"(1.841, 5.054]","(16.862, 21.069]",,"(0.982, 1.002]","(0.492, 0.706]","(7.23, 13.3]"
3,"(1.841, 5.054]","(16.862, 21.069]",,"(0.982, 1.002]","(0.492, 0.706]","(7.23, 13.3]"
3,"(1.841, 5.054]","(16.862, 21.069]",,"(0.982, 1.002]","(0.706, 1.0]","(7.23, 13.3]"
3,"(1.841, 5.054]","(16.862, 21.069]",,"(0.982, 1.002]","(0.706, 1.0]","(7.23, 13.3]"
3,"(1.841, 5.054]","(16.862, 21.069]",,"(0.982, 1.002]","(0.706, 1.0]","(7.23, 13.3]"
3,"(1.841, 5.054]","(16.862, 21.069]",,"(0.982, 1.002]","(0.706, 1.0]","(7.23, 13.3]"
3,"(1.841, 5.054]","(16.862, 21.069]","(8.032, 11.153]","(0.982, 1.002]","(0.706, 1.0]","(7.23, 13.3]"
4,"(1.841, 5.054]","(16.862, 21.069]","(8.032, 11.153]","(0.982, 1.002]","(0.706, 1.0]","(7.23, 13.3]"
4,"(1.841, 5.054]","(16.862, 21.069]","(8.032, 11.153]","(0.982, 1.002]","(0.706, 1.0]","(7.23, 13.3]"
4,"(1.841, 5.054]","(16.862, 21.069]","(8.032, 11.153]","(0.982, 1.002]","(0.706, 1.0]","(7.23, 13.3]"
4,"(1.841, 5.054]","(16.862, 21.069]","(8.032, 11.153]","(0.982, 1.002]","(0.706, 1.0]","(7.23, 13.3]"
4,"(1.841, 5.054]","(16.862, 21.069]","(8.032, 11.153]","(0.982, 1.002]","(0.706, 1.0]","(7.23, 13.3]"
4,"(1.841, 5.054]","(16.862, 21.069]","(8.032, 11.153]","(0.982, 1.002]","(0.706, 1.0]","(7.23, 13.3]"
4,"(1.841, 5.054]","(16.862, 21.069]","(8.032, 11.153]","(0.982, 1.002]","(0.706, 1.0]","(7.23, 13.3]"
4,"(1.841, 5.054]","(16.862, 21.069]","(8.032, 11.153]","(0.982, 1.002]","(0.706, 1.0]","(7.23, 13.3]"
4,"(1.841, 5.054]","(16.862, 21.069]","(8.032, 11.153]","(0.982, 1.002]","(0.706, 1.0]","(7.23, 13.3]"
4,"(1.841, 5.054]","(16.862, 21.069]","(8.032, 11.153]","(0.982, 1.002]","(0.706, 1.0]","(7.23, 13.3]"
4,"(1.841, 5.054]","(16.862, 21.069]","(8.032, 11.153]","(0.982, 1.002]","(0.706, 1.0]","(7.23, 13.3]"
4,"(1.841, 5.054]","(16.862, 21.069]","(8.032, 11.153]","(0.982, 1.002]","(0.706, 1.0]","(7.23, 13.3]"
4,"(1.841, 5.054]","(16.862, 21.069]","(8.032, 11.153]","(0.982, 1.002]","(0.706, 1.0]","(7.23, 13.3]"
4,"(1.841, 5.054]","(16.862, 21.069]","(8.032, 11.153]","(0.982, 1.002]","(0.706, 1.0]","(7.23, 13.3]"
4,"(1.841, 5.054]","(16.862, 21.069]","(8.032, 11.153]","(0.982, 1.002]","(0.706, 1.0]","(7.23, 13.3]"
4,"(1.841, 5.054]","(16.862, 21.069]","(8.032, 11.153]","(0.982, 1.002]","(0.706, 1.0]","(7.23, 13.3]"
4,"(1.841, 5.054]","(16.862, 21.069]","(8.032, 11.153]","(0.982, 1.002]","(0.706, 1.0]","(7.23, 13.3]"
