Outcome,OutcomeCategory,Model,Stat,Result
EliteWantCommonGood,EndogPublicGoods,l_pwd_a,beta,     -0.08
EliteWantCommonGood,EndogPublicGoods,l_pwd_a,tstat,     -0.76
EliteWantCommonGood,EndogPublicGoods,l_pwd_a,AIC,   2778.80
EliteWantCommonGood,EndogPublicGoods,l_pwd_a,loglike,  -1366.24
EliteWantCommonGood,EndogPublicGoods,ln_pwd_g,beta,     -0.96
EliteWantCommonGood,EndogPublicGoods,ln_pwd_g,tstat,     -0.63
EliteWantCommonGood,EndogPublicGoods,ln_pwd_g,AIC,   2778.94
EliteWantCommonGood,EndogPublicGoods,ln_pwd_g,loglike,  -1366.31
EliteWantCommonGood,EndogPublicGoods,ln_pwd_m,beta,      0.18
EliteWantCommonGood,EndogPublicGoods,ln_pwd_m,tstat,      0.17
EliteWantCommonGood,EndogPublicGoods,ln_pwd_m,AIC,   2781.51
EliteWantCommonGood,EndogPublicGoods,ln_pwd_m,loglike,  -1367.59
EliteWantCommonGood,EndogPublicGoods,wb_urbpop,beta,      0.01
EliteWantCommonGood,EndogPublicGoods,wb_urbpop,tstat,      2.23
EliteWantCommonGood,EndogPublicGoods,wb_urbpop,AIC,  17592.44
EliteWantCommonGood,EndogPublicGoods,wb_urbpop,loglike,  -8732.79
EliteWantCommonGood,EndogPublicGoods,l_res_norm,beta,     -0.52
EliteWantCommonGood,EndogPublicGoods,l_res_norm,tstat,     -0.94
EliteWantCommonGood,EndogPublicGoods,l_res_norm,AIC,  15140.54
EliteWantCommonGood,EndogPublicGoods,l_res_norm,loglike,  -7506.81
EliteWantCommonGood,EndogPublicGoods,p_res_norm,beta,      0.75
EliteWantCommonGood,EndogPublicGoods,p_res_norm,tstat,      2.29
EliteWantCommonGood,EndogPublicGoods,p_res_norm,AIC,  15068.30
EliteWantCommonGood,EndogPublicGoods,p_res_norm,loglike,  -7470.69
EliteWantCommonGood,EndogPublicGoods,r_res_norm,beta,     -1.38
EliteWantCommonGood,EndogPublicGoods,r_res_norm,tstat,     -3.60
EliteWantCommonGood,EndogPublicGoods,r_res_norm,AIC,  15049.36
EliteWantCommonGood,EndogPublicGoods,r_res_norm,loglike,  -7461.23
EliteWantCommonGood,EndogPublicGoods,g_res_norm,beta,     -0.47
EliteWantCommonGood,EndogPublicGoods,g_res_norm,tstat,     -0.57
EliteWantCommonGood,EndogPublicGoods,g_res_norm,AIC,  15149.70
EliteWantCommonGood,EndogPublicGoods,g_res_norm,loglike,  -7511.40
EliteWantCommonGood,EndogPublicGoods,W4+l_pwd_a,beta,     -0.47
EliteWantCommonGood,EndogPublicGoods,W4+l_pwd_a,tstat,     -0.57
EliteWantCommonGood,EndogPublicGoods,W4+l_pwd_a,AIC,   2406.77
EliteWantCommonGood,EndogPublicGoods,W4+l_pwd_a,loglike,  -1179.21
EliteWantCommonGood,EndogPublicGoods,W4+ln_pwd_g,beta,     -0.47
EliteWantCommonGood,EndogPublicGoods,W4+ln_pwd_g,tstat,     -0.57
EliteWantCommonGood,EndogPublicGoods,W4+ln_pwd_g,AIC,   2404.34
EliteWantCommonGood,EndogPublicGoods,W4+ln_pwd_g,loglike,  -1177.99
EliteWantCommonGood,EndogPublicGoods,W4+ln_pwd_m,beta,     -0.47
EliteWantCommonGood,EndogPublicGoods,W4+ln_pwd_m,tstat,     -0.57
EliteWantCommonGood,EndogPublicGoods,W4+ln_pwd_m,AIC,   2410.30
EliteWantCommonGood,EndogPublicGoods,W4+ln_pwd_m,loglike,  -1180.97
EliteWantCommonGood,EndogPublicGoods,W4+wb_urbpop,beta,     -0.47
EliteWantCommonGood,EndogPublicGoods,W4+wb_urbpop,tstat,     -0.57
EliteWantCommonGood,EndogPublicGoods,W4+wb_urbpop,AIC,  16401.64
EliteWantCommonGood,EndogPublicGoods,W4+wb_urbpop,loglike,  -8136.37
EliteWantCommonGood,EndogPublicGoods,W4+l_res_norm,beta,     -0.47
EliteWantCommonGood,EndogPublicGoods,W4+l_res_norm,tstat,     -0.57
EliteWantCommonGood,EndogPublicGoods,W4+l_res_norm,AIC,  13813.15
EliteWantCommonGood,EndogPublicGoods,W4+l_res_norm,loglike,  -6842.11
EliteWantCommonGood,EndogPublicGoods,W4+p_res_norm,beta,     -0.47
EliteWantCommonGood,EndogPublicGoods,W4+p_res_norm,tstat,     -0.57
EliteWantCommonGood,EndogPublicGoods,W4+p_res_norm,AIC,  13778.79
EliteWantCommonGood,EndogPublicGoods,W4+p_res_norm,loglike,  -6824.93
EliteWantCommonGood,EndogPublicGoods,W4+r_res_norm,beta,     -0.47
EliteWantCommonGood,EndogPublicGoods,W4+r_res_norm,tstat,     -0.57
EliteWantCommonGood,EndogPublicGoods,W4+r_res_norm,AIC,  13729.63
EliteWantCommonGood,EndogPublicGoods,W4+r_res_norm,loglike,  -6800.35
EliteWantCommonGood,EndogPublicGoods,W4+g_res_norm,beta,     -0.47
EliteWantCommonGood,EndogPublicGoods,W4+g_res_norm,tstat,     -0.57
EliteWantCommonGood,EndogPublicGoods,W4+g_res_norm,AIC,  13786.46
EliteWantCommonGood,EndogPublicGoods,W4+g_res_norm,loglike,  -6828.76
PublicWantCommonGood,EndogPublicGoods,W4,beta,      3.96
PublicWantCommonGood,EndogPublicGoods,W4,tstat,     18.65
PublicWantCommonGood,EndogPublicGoods,W4,AIC,  15627.08
PublicWantCommonGood,EndogPublicGoods,W4,loglike,  -7750.12
PublicWantCommonGood,EndogPublicGoods,l_pwd_a,beta,     -0.24
PublicWantCommonGood,EndogPublicGoods,l_pwd_a,tstat,     -1.51
PublicWantCommonGood,EndogPublicGoods,l_pwd_a,AIC,   4055.12
PublicWantCommonGood,EndogPublicGoods,l_pwd_a,loglike,  -2004.40
PublicWantCommonGood,EndogPublicGoods,ln_pwd_g,beta,     -3.40
PublicWantCommonGood,EndogPublicGoods,ln_pwd_g,tstat,     -1.33
PublicWantCommonGood,EndogPublicGoods,ln_pwd_g,AIC,   4050.10
PublicWantCommonGood,EndogPublicGoods,ln_pwd_g,loglike,  -2001.89
PublicWantCommonGood,EndogPublicGoods,ln_pwd_m,beta,     -1.11
PublicWantCommonGood,EndogPublicGoods,ln_pwd_m,tstat,     -0.65
PublicWantCommonGood,EndogPublicGoods,ln_pwd_m,AIC,   4068.26
PublicWantCommonGood,EndogPublicGoods,ln_pwd_m,loglike,  -2010.96
PublicWantCommonGood,EndogPublicGoods,wb_urbpop,beta,      0.01
PublicWantCommonGood,EndogPublicGoods,wb_urbpop,tstat,      2.11
PublicWantCommonGood,EndogPublicGoods,wb_urbpop,AIC,  20374.06
PublicWantCommonGood,EndogPublicGoods,wb_urbpop,loglike, -10123.60
PublicWantCommonGood,EndogPublicGoods,l_res_norm,beta,     -1.52
PublicWantCommonGood,EndogPublicGoods,l_res_norm,tstat,     -3.67
PublicWantCommonGood,EndogPublicGoods,l_res_norm,AIC,  18966.81
PublicWantCommonGood,EndogPublicGoods,l_res_norm,loglike,  -9419.95
PublicWantCommonGood,EndogPublicGoods,p_res_norm,beta,      0.92
PublicWantCommonGood,EndogPublicGoods,p_res_norm,tstat,      2.04
PublicWantCommonGood,EndogPublicGoods,p_res_norm,AIC,  18997.25
PublicWantCommonGood,EndogPublicGoods,p_res_norm,loglike,  -9435.17
PublicWantCommonGood,EndogPublicGoods,r_res_norm,beta,     -1.56
PublicWantCommonGood,EndogPublicGoods,r_res_norm,tstat,     -3.41
PublicWantCommonGood,EndogPublicGoods,r_res_norm,AIC,  18995.16
PublicWantCommonGood,EndogPublicGoods,r_res_norm,loglike,  -9434.13
PublicWantCommonGood,EndogPublicGoods,g_res_norm,beta,      0.14
PublicWantCommonGood,EndogPublicGoods,g_res_norm,tstat,      0.20
PublicWantCommonGood,EndogPublicGoods,g_res_norm,AIC,  19088.19
PublicWantCommonGood,EndogPublicGoods,g_res_norm,loglike,  -9480.64
PublicWantCommonGood,EndogPublicGoods,W4+l_pwd_a,beta,      0.14
PublicWantCommonGood,EndogPublicGoods,W4+l_pwd_a,tstat,      0.20
PublicWantCommonGood,EndogPublicGoods,W4+l_pwd_a,AIC,   2625.23
PublicWantCommonGood,EndogPublicGoods,W4+l_pwd_a,loglike,  -1288.44
PublicWantCommonGood,EndogPublicGoods,W4+ln_pwd_g,beta,      0.14
PublicWantCommonGood,EndogPublicGoods,W4+ln_pwd_g,tstat,      0.20
PublicWantCommonGood,EndogPublicGoods,W4+ln_pwd_g,AIC,   2599.58
PublicWantCommonGood,EndogPublicGoods,W4+ln_pwd_g,loglike,  -1275.61
PublicWantCommonGood,EndogPublicGoods,W4+ln_pwd_m,beta,      0.14
PublicWantCommonGood,EndogPublicGoods,W4+ln_pwd_m,tstat,      0.20
PublicWantCommonGood,EndogPublicGoods,W4+ln_pwd_m,AIC,   2629.09
PublicWantCommonGood,EndogPublicGoods,W4+ln_pwd_m,loglike,  -1290.37
PublicWantCommonGood,EndogPublicGoods,W4+wb_urbpop,beta,      0.14
PublicWantCommonGood,EndogPublicGoods,W4+wb_urbpop,tstat,      0.20
PublicWantCommonGood,EndogPublicGoods,W4+wb_urbpop,AIC,  15241.14
PublicWantCommonGood,EndogPublicGoods,W4+wb_urbpop,loglike,  -7556.13
PublicWantCommonGood,EndogPublicGoods,W4+l_res_norm,beta,      0.14
PublicWantCommonGood,EndogPublicGoods,W4+l_res_norm,tstat,      0.20
PublicWantCommonGood,EndogPublicGoods,W4+l_res_norm,AIC,  13800.05
PublicWantCommonGood,EndogPublicGoods,W4+l_res_norm,loglike,  -6835.56
PublicWantCommonGood,EndogPublicGoods,W4+p_res_norm,beta,      0.14
PublicWantCommonGood,EndogPublicGoods,W4+p_res_norm,tstat,      0.20
PublicWantCommonGood,EndogPublicGoods,W4+p_res_norm,AIC,  13844.06
