Outcome,OutcomeCategory,Model,Stat,Result
PublicGood,EndogPublicGoods,W4+r_res_norm/r_res_norm,BIC, -22837.25
PublicGood,EndogPublicGoods,W4+r_res_norm/r_res_norm,loglike,  11705.17
PublicGood,EndogPublicGoods,W4+g_res_norm,betap,      0.09
PublicGood,EndogPublicGoods,W4+g_res_norm,tstatp,      1.88
PublicGood,EndogPublicGoods,W4+g_res_norm,AIC, -25134.96
PublicGood,EndogPublicGoods,W4+g_res_norm,BIC, -24681.72
PublicGood,EndogPublicGoods,W4+g_res_norm,loglike,  12631.95
PublicGood,EndogPublicGoods,W4+g_res_norm/W4,betaw,      0.24
PublicGood,EndogPublicGoods,W4+g_res_norm/W4,tstatw,      7.96
PublicGood,EndogPublicGoods,W4+g_res_norm/W4,AIC, -25088.24
PublicGood,EndogPublicGoods,W4+g_res_norm/W4,BIC, -24642.07
PublicGood,EndogPublicGoods,W4+g_res_norm/W4,loglike,  12607.58
PublicGood,EndogPublicGoods,W4+g_res_norm/g_res_norm,betap,      0.12
PublicGood,EndogPublicGoods,W4+g_res_norm/g_res_norm,tstatp,      1.70
PublicGood,EndogPublicGoods,W4+g_res_norm/g_res_norm,AIC, -23316.23
PublicGood,EndogPublicGoods,W4+g_res_norm/g_res_norm,BIC, -22870.06
PublicGood,EndogPublicGoods,W4+g_res_norm/g_res_norm,loglike,  11721.57
GoodsRatio,EndogPublicGoods,W4+ln_pwd_a,betap,      0.04
GoodsRatio,EndogPublicGoods,W4+ln_pwd_a,tstatp,      0.70
GoodsRatio,EndogPublicGoods,W4+ln_pwd_a,AIC, -17391.51
GoodsRatio,EndogPublicGoods,W4+ln_pwd_a,BIC, -17244.76
GoodsRatio,EndogPublicGoods,W4+ln_pwd_a,loglike,   8719.93
GoodsRatio,EndogPublicGoods,W4+ln_pwd_a/W4,betaw,      0.13
GoodsRatio,EndogPublicGoods,W4+ln_pwd_a/W4,tstatw,      4.65
GoodsRatio,EndogPublicGoods,W4+ln_pwd_a/W4,AIC, -17390.18
GoodsRatio,EndogPublicGoods,W4+ln_pwd_a/W4,BIC, -17249.53
GoodsRatio,EndogPublicGoods,W4+ln_pwd_a/W4,loglike,   8718.25
GoodsRatio,EndogPublicGoods,W4+ln_pwd_a/ln_pwd_a,betap,      0.04
GoodsRatio,EndogPublicGoods,W4+ln_pwd_a/ln_pwd_a,tstatp,      0.68
GoodsRatio,EndogPublicGoods,W4+ln_pwd_a/ln_pwd_a,AIC, -17017.94
GoodsRatio,EndogPublicGoods,W4+ln_pwd_a/ln_pwd_a,BIC, -16877.29
GoodsRatio,EndogPublicGoods,W4+ln_pwd_a/ln_pwd_a,loglike,   8532.14
GoodsRatio,EndogPublicGoods,W4+ln_pwd_g,betap,      0.00
GoodsRatio,EndogPublicGoods,W4+ln_pwd_g,tstatp,      0.00
GoodsRatio,EndogPublicGoods,W4+ln_pwd_g,AIC, -17388.15
GoodsRatio,EndogPublicGoods,W4+ln_pwd_g,BIC, -17241.40
GoodsRatio,EndogPublicGoods,W4+ln_pwd_g,loglike,   8718.25
GoodsRatio,EndogPublicGoods,W4+ln_pwd_g/W4,betaw,      0.13
GoodsRatio,EndogPublicGoods,W4+ln_pwd_g/W4,tstatw,      4.65
GoodsRatio,EndogPublicGoods,W4+ln_pwd_g/W4,AIC, -17390.18
GoodsRatio,EndogPublicGoods,W4+ln_pwd_g/W4,BIC, -17249.53
GoodsRatio,EndogPublicGoods,W4+ln_pwd_g/W4,loglike,   8718.25
GoodsRatio,EndogPublicGoods,W4+ln_pwd_g/ln_pwd_g,betap,      0.02
GoodsRatio,EndogPublicGoods,W4+ln_pwd_g/ln_pwd_g,tstatp,      0.21
GoodsRatio,EndogPublicGoods,W4+ln_pwd_g/ln_pwd_g,AIC, -17015.01
GoodsRatio,EndogPublicGoods,W4+ln_pwd_g/ln_pwd_g,BIC, -16874.36
GoodsRatio,EndogPublicGoods,W4+ln_pwd_g/ln_pwd_g,loglike,   8530.67
GoodsRatio,EndogPublicGoods,W4+ln_pwd_m,betap,      0.02
GoodsRatio,EndogPublicGoods,W4+ln_pwd_m,tstatp,      0.29
GoodsRatio,EndogPublicGoods,W4+ln_pwd_m,AIC, -17388.94
GoodsRatio,EndogPublicGoods,W4+ln_pwd_m,BIC, -17242.19
GoodsRatio,EndogPublicGoods,W4+ln_pwd_m,loglike,   8718.65
GoodsRatio,EndogPublicGoods,W4+ln_pwd_m/W4,betaw,      0.13
GoodsRatio,EndogPublicGoods,W4+ln_pwd_m/W4,tstatw,      4.65
GoodsRatio,EndogPublicGoods,W4+ln_pwd_m/W4,AIC, -17390.18
GoodsRatio,EndogPublicGoods,W4+ln_pwd_m/W4,BIC, -17249.53
GoodsRatio,EndogPublicGoods,W4+ln_pwd_m/W4,loglike,   8718.25
GoodsRatio,EndogPublicGoods,W4+ln_pwd_m/ln_pwd_m,betap,      0.04
GoodsRatio,EndogPublicGoods,W4+ln_pwd_m/ln_pwd_m,tstatp,      0.60
GoodsRatio,EndogPublicGoods,W4+ln_pwd_m/ln_pwd_m,AIC, -17018.19
GoodsRatio,EndogPublicGoods,W4+ln_pwd_m/ln_pwd_m,BIC, -16877.54
GoodsRatio,EndogPublicGoods,W4+ln_pwd_m/ln_pwd_m,loglike,   8532.26
GoodsRatio,EndogPublicGoods,W4+wb_urbpop,betap,      0.00
GoodsRatio,EndogPublicGoods,W4+wb_urbpop,tstatp,      1.36
GoodsRatio,EndogPublicGoods,W4+wb_urbpop,AIC, -29204.42
GoodsRatio,EndogPublicGoods,W4+wb_urbpop,BIC, -28748.44
GoodsRatio,EndogPublicGoods,W4+wb_urbpop,loglike,  14666.66
GoodsRatio,EndogPublicGoods,W4+wb_urbpop/W4,betaw,      0.11
GoodsRatio,EndogPublicGoods,W4+wb_urbpop/W4,tstatw,      4.17
GoodsRatio,EndogPublicGoods,W4+wb_urbpop/W4,AIC, -29168.15
GoodsRatio,EndogPublicGoods,W4+wb_urbpop/W4,BIC, -28719.27
GoodsRatio,EndogPublicGoods,W4+wb_urbpop/W4,loglike,  14647.51
GoodsRatio,EndogPublicGoods,W4+wb_urbpop/wb_urbpop,betap,      0.00
GoodsRatio,EndogPublicGoods,W4+wb_urbpop/wb_urbpop,tstatp,      1.83
GoodsRatio,EndogPublicGoods,W4+wb_urbpop/wb_urbpop,AIC, -28656.73
GoodsRatio,EndogPublicGoods,W4+wb_urbpop/wb_urbpop,BIC, -28207.86
GoodsRatio,EndogPublicGoods,W4+wb_urbpop/wb_urbpop,loglike,  14391.80
GoodsRatio,EndogPublicGoods,W4+l_res_norm,betap,     -0.06
GoodsRatio,EndogPublicGoods,W4+l_res_norm,tstatp,     -0.65
GoodsRatio,EndogPublicGoods,W4+l_res_norm,AIC, -29626.28
GoodsRatio,EndogPublicGoods,W4+l_res_norm,BIC, -29173.04
GoodsRatio,EndogPublicGoods,W4+l_res_norm,loglike,  14877.61
GoodsRatio,EndogPublicGoods,W4+l_res_norm/W4,betaw,      0.11
GoodsRatio,EndogPublicGoods,W4+l_res_norm/W4,tstatw,      4.25
GoodsRatio,EndogPublicGoods,W4+l_res_norm/W4,AIC, -29587.12
GoodsRatio,EndogPublicGoods,W4+l_res_norm/W4,BIC, -29140.95
GoodsRatio,EndogPublicGoods,W4+l_res_norm/W4,loglike,  14857.02
GoodsRatio,EndogPublicGoods,W4+l_res_norm/l_res_norm,betap,     -0.08
GoodsRatio,EndogPublicGoods,W4+l_res_norm/l_res_norm,tstatp,     -0.91
GoodsRatio,EndogPublicGoods,W4+l_res_norm/l_res_norm,AIC, -28986.69
