Outcome,OutcomeCategory,Stat,W4,W4+p1,W4+p1/W4,W4+p1/p1,W4+p2,W4+p2/W4,W4+p2/p2,W4+p3,W4+p3/W4,W4+p3/p3,W4+p4,W4+p4/W4,W4+p4/p4,W4+p5,W4+p5/W4,W4+p5/p5,W4+p6,W4+p6/W4,W4+p6/p6,p1,p2,p3,p4,p5,p6
PrivateorPublicGoods,EndogPublicGoods,loglike,-8861.3,-943.91,-944.22,-1177.64,-7601.52,-7601.89,-7765.6,-944.19,-944.22,-1176.45,-7601.52,-7601.89,-7765.57,-851.74,-854.23,-1095.54,-851.95,-854.23,-1096.01,-1177.64,-7765.6,-1176.45,-7765.57,-1095.54,-1096.01
PublicGood,EndogPublicGoods,betaw,0.25,0.15,0.15,,0.24,0.25,,0.15,0.15,,0.24,0.25,,0.15,0.15,,0.15,0.15,,,,,,,
PublicGood,EndogPublicGoods,betap,,0.02,,0.02,0.0,,0.0,0.03,,0.04,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.02,0.0,0.04,0.0,0.0,0.0
PublicGood,EndogPublicGoods,tstatw,8.28,4.32,4.31,,8.02,8.18,,4.16,4.31,,8.01,8.18,,4.39,4.32,,4.38,4.32,,,,,,,
PublicGood,EndogPublicGoods,tstatp,,1.66,,1.81,1.85,,2.58,2.52,,3.31,1.85,,2.59,1.57,,1.33,1.62,,1.41,1.81,2.58,3.31,2.59,1.33,1.41
PublicGood,EndogPublicGoods,AIC,-24833.32,-15304.62,-15293.14,-15016.22,-24858.08,-24779.39,-23040.69,-15327.19,-15293.14,-15050.45,-24857.57,-24779.39,-23041.81,-15088.38,-15070.57,-14799.21,-15090.11,-15070.57,-14801.43,-15016.22,-23040.69,-15050.45,-23041.81,-14799.21,-14801.43
PublicGood,EndogPublicGoods,BIC,-24383.35,-15158.36,-15152.96,-14876.04,-24405.61,-24333.97,-22595.27,-15180.93,-15152.96,-14910.27,-24405.09,-24333.97,-22596.39,-14942.41,-14930.66,-14659.31,-14944.14,-14930.66,-14661.53,-14876.04,-22595.27,-14910.27,-22596.39,-14659.31,-14661.53
PublicGood,EndogPublicGoods,loglike,12480.09,7676.49,7669.74,7531.28,12493.52,12453.15,11583.8,7687.78,7669.74,7548.39,12493.26,12453.15,11584.37,7568.37,7558.45,7422.77,7569.24,7558.45,7423.88,7531.28,11583.8,7548.39,11584.37,7422.77,7423.88
PublicWantCommonGood,EndogPublicGoods,betaw,3.96,5.36,5.36,,4.01,4.03,,5.38,5.36,,4.01,4.03,,5.35,5.36,,5.36,5.36,,,,,,,
PublicWantCommonGood,EndogPublicGoods,betap,,-0.51,,-0.48,0.01,,0.03,-0.24,,0.0,0.01,,0.03,-0.06,,-0.07,-0.08,,-0.09,-0.48,0.03,0.0,0.03,-0.07,-0.09
PublicWantCommonGood,EndogPublicGoods,tstatw,18.65,7.1,7.08,,17.98,18.26,,7.05,7.08,,17.98,18.26,,7.31,7.08,,7.3,7.08,,,,,,,
PublicWantCommonGood,EndogPublicGoods,tstatp,,-1.67,,-1.53,0.89,,2.09,-0.9,,0.01,0.91,,2.12,-1.82,,-1.53,-1.77,,-1.45,-1.53,2.09,0.01,2.12,-1.53,-1.45
PublicWantCommonGood,EndogPublicGoods,AIC,15627.3,2574.83,2605.25,4013.13,13513.81,13526.64,18773.66,2598.97,2605.25,4031.81,13513.25,13526.64,18770.52,2516.54,2550.91,3954.9,2518.86,2550.91,3958.45,4013.13,18773.66,4031.81,18770.52,3954.9,3958.45
PublicWantCommonGood,EndogPublicGoods,BIC,16077.56,2721.1,2745.44,4153.31,13966.35,13972.13,19219.15,2745.24,2745.44,4171.99,13965.79,13972.13,19216.0,2662.51,2690.81,4094.8,2664.83,2690.81,4098.35,4153.31,19219.15,4171.99,19216.0,4094.8,4098.35
PublicWantCommonGood,EndogPublicGoods,loglike,-7750.22,-1263.24,-1279.46,-1983.4,-6692.43,-6699.86,-9323.37,-1275.3,-1279.46,-1992.74,-6692.15,-6699.86,-9321.8,-1234.09,-1252.28,-1954.28,-1235.25,-1252.28,-1956.06,-1983.4,-9323.37,-1992.74,-9321.8,-1954.28,-1956.06
CivilLiberties,Freedoms,betaw,1.22,1.27,1.27,,1.22,1.23,,1.27,1.27,,1.22,1.23,,1.27,1.27,,1.27,1.27,,,,,,,
CivilLiberties,Freedoms,betap,,0.0,,0.01,0.0,,0.01,0.02,,0.07,0.0,,0.01,-0.0,,-0.0,-0.0,,-0.0,0.01,0.01,0.07,0.01,-0.0,-0.0
CivilLiberties,Freedoms,tstatw,36.67,15.03,15.04,,35.41,36.2,,14.97,15.04,,35.39,36.2,,15.08,15.03,,15.08,15.03,,,,,,,
CivilLiberties,Freedoms,tstatp,,0.03,,0.14,1.51,,2.56,0.41,,1.37,1.5,,2.59,-0.6,,-0.61,-0.56,,-0.51,0.14,2.56,1.37,2.59,-0.61,-0.51
CivilLiberties,Freedoms,AIC,-20077.92,-10614.6,-10616.62,-7427.72,-19516.92,-19469.93,-6902.62,-10616.43,-10616.62,-7443.28,-19516.21,-19469.93,-6905.52,-10458.47,-10457.74,-7305.59,-10458.12,-10457.74,-7304.58,-7427.72,-6902.62,-7443.28,-6905.52,-7305.59,-7304.58
