Outcome,OutcomeCategory,Stat,W4,W4+p1,W4+p1/W4,W4+p1/p1,W4+p2,W4+p2/W4,W4+p2/p2,W4+p3,W4+p3/W4,W4+p3/p3,W4+p4,W4+p4/W4,W4+p4/p4,W4+p5,W4+p5/W4,W4+p5/p5,W4+p6,W4+p6/W4,W4+p6/p6,p1,p2,p3,p4,p5,p6
LifeExpect,OtherMeasures,loglike,-23568.34,-5743.14,-5788.59,-5743.17,-21553.09,-21627.66,-21560.5,-5739.09,-5788.59,-5739.45,-21551.17,-21627.66,-21558.44,-5699.25,-5732.14,-5699.25,-5698.65,-5732.14,-5698.65,-5743.17,-21560.5,-5739.45,-21558.44,-5699.25,-5698.65
PressFreedom,OtherMeasures,betaw,-51.67,-51.95,-52.02,,-53.11,-53.09,,-51.56,-52.02,,-53.11,-53.09,,-52.09,-52.1,,-52.1,-52.1,,,,,,,
PressFreedom,OtherMeasures,betap,,-5.45,,-5.86,0.09,,0.06,-3.9,,-6.98,0.09,,0.05,0.03,,0.1,0.05,,0.11,-5.86,0.06,-6.98,0.05,0.1,0.11
PressFreedom,OtherMeasures,tstatw,-8.54,-8.2,-8.34,,-8.84,-8.77,,-8.2,-8.34,,-8.83,-8.77,,-8.38,-8.35,,-8.38,-8.35,,,,,,,
PressFreedom,OtherMeasures,tstatp,,-2.17,,-1.62,0.29,,0.17,-1.39,,-1.79,0.28,,0.13,0.06,,0.17,0.07,,0.14,-1.62,0.17,-1.79,0.13,0.17,0.14
PressFreedom,OtherMeasures,AIC,26046.3,16239.68,16253.01,16994.2,25179.76,25178.82,26023.76,16245.65,16253.01,16984.55,25179.83,25178.82,26023.94,16036.72,16034.73,16796.47,16036.71,16034.73,16796.61,16994.2,26023.76,16984.55,26023.94,16796.47,16796.61
PressFreedom,OtherMeasures,BIC,26216.02,16364.1,16371.52,17112.71,25354.89,25347.7,26192.65,16370.07,16371.52,17103.06,25354.96,25347.7,26192.83,16160.89,16153.0,16914.74,16160.88,16153.0,16914.88,17112.71,26192.65,17103.06,26192.83,16914.74,16914.88
PressFreedom,OtherMeasures,loglike,-12995.96,-8098.68,-8106.36,-8476.95,-12561.67,-12562.21,-12984.69,-8101.66,-8106.36,-8472.13,-12561.71,-12562.21,-12984.77,-7997.19,-7997.21,-8378.08,-7997.19,-7997.21,-8378.15,-8476.95,-12984.69,-8472.13,-12984.77,-8378.08,-8378.15
Transparency,OtherMeasures,betaw,1.29,1.48,1.45,,1.33,1.29,,1.28,1.45,,1.34,1.29,,1.67,1.45,,1.66,1.45,,,,,,,
Transparency,OtherMeasures,betap,,0.79,,0.74,-0.05,,-0.05,0.86,,1.0,-0.05,,-0.05,0.14,,0.11,0.18,,0.16,0.74,-0.05,1.0,-0.05,0.11,0.16
Transparency,OtherMeasures,tstatw,1.81,2.42,2.34,,1.86,1.8,,2.02,2.34,,1.86,1.8,,2.81,2.33,,2.79,2.33,,,,,,,
Transparency,OtherMeasures,tstatp,,0.99,,0.9,-1.58,,-1.47,1.3,,1.46,-1.57,,-1.44,1.51,,1.26,1.54,,1.31,0.9,-1.47,1.46,-1.44,1.26,1.31
Transparency,OtherMeasures,AIC,10724.73,2395.55,2396.26,2402.57,10645.64,10666.0,10717.08,2393.15,2396.26,2397.81,10645.9,10666.0,10717.48,2378.23,2386.08,2387.54,2377.82,2386.08,2386.93,2402.57,10717.08,2397.81,10717.48,2387.54,2386.93
Transparency,OtherMeasures,BIC,10936.16,2473.22,2468.77,2475.08,10862.97,10877.15,10928.22,2470.82,2468.77,2470.32,10863.24,10877.15,10928.62,2455.77,2458.47,2459.93,2455.36,2458.47,2459.32,2475.08,10928.22,2470.32,10928.62,2459.93,2459.32
Transparency,OtherMeasures,loglike,-5328.05,-1182.59,-1183.97,-1187.13,-5287.48,-5298.68,-5324.22,-1181.4,-1183.97,-1184.75,-5287.61,-5298.68,-5324.42,-1173.93,-1178.88,-1179.61,-1173.73,-1178.88,-1179.31,-1187.13,-5324.22,-1184.75,-5324.42,-1179.61,-1179.31
Vaccination,OtherMeasures,betaw,-8.15,1.62,1.64,,-8.11,-8.19,,1.38,1.64,,-8.11,-8.19,,1.67,1.56,,1.64,1.56,,,,,,,
Vaccination,OtherMeasures,betap,,2.63,,2.64,-0.09,,-0.12,2.57,,2.63,-0.08,,-0.11,0.47,,0.47,0.63,,0.63,2.64,-0.12,2.63,-0.11,0.47,0.63
Vaccination,OtherMeasures,tstatw,-1.51,0.35,0.35,,-1.45,-1.47,,0.29,0.35,,-1.45,-1.47,,0.36,0.33,,0.35,0.33,,,,,,,
Vaccination,OtherMeasures,tstatp,,0.72,,0.72,-0.27,,-0.36,0.75,,0.76,-0.25,,-0.34,1.0,,0.99,1.01,,1.01,0.72,-0.36,0.76,-0.34,0.99,1.01
Vaccination,OtherMeasures,AIC,46083.11,20989.11,20990.16,20987.67,44739.18,44738.27,44768.66,20988.81,20990.16,20987.21,44739.35,44738.27,44768.85,20727.38,20733.24,20725.98,20727.18,20733.24,20725.76,20987.67,44768.66,20987.21,44768.85,20725.98,20725.76
Vaccination,OtherMeasures,BIC,46371.29,21135.05,21130.04,21127.55,45032.65,45025.09,45055.48,21134.76,21130.04,21127.09,45032.82,45025.09,45055.67,20873.03,20872.83,20865.57,20872.83,20872.83,20865.35,21127.55,45055.48,21127.09,45055.67,20865.57,20865.35
Vaccination,OtherMeasures,loglike,-22998.24,-10470.37,-10471.91,-10470.66,-22325.25,-22325.81,-22341.01,-10470.22,-10471.91,-10470.43,-22325.34,-22325.81,-22341.1,-10339.5,-10343.45,-10339.82,-10339.4,-10343.45,-10339.71,-10470.66,-22341.01,-10470.43,-22341.1,-10339.82,-10339.71
