,model,bhp,pp10,pp05,pp01,bhw,pw10,pw05,pw01,m3_win_bic,m3_win_aic,meanbetap,meanbetaw
48,e_boix_regime+r_res_norm,6.0,0,0,0,30.0,29,28,27,25.0,30.0,1.8845714285714283,1.3017142857142858
42,e_boix_regime+g_res_norm,20.0,4,1,1,30.0,28,28,27,20.0,30.0,4.168285714285715,1.2722857142857142
41,e_boix_regime+e_peaveduc,22.0,5,3,1,30.0,27,27,27,15.0,21.0,0.5654285714285714,1.1917142857142857
14,Przeworski+ln_pwd_a,31.0,13,10,7,33.0,17,14,8,18.0,30.0,17.16057142857143,0.44057142857142856
15,Przeworski+ln_pwd_g,30.0,13,10,4,34.0,17,16,8,20.0,26.0,20.949142857142856,0.45914285714285713
16,Przeworski+ln_pwd_m,28.0,6,2,1,34.0,17,15,8,14.0,21.0,11.200857142857142,0.4754285714285714
19,Przeworski+wb_urbpop,14.0,10,5,3,32.0,27,26,25,25.0,29.0,0.06685714285714285,1.0614285714285714
13,Przeworski+l_res_norm,9.0,2,1,1,32.0,28,26,25,28.0,33.0,2.609142857142857,1.1274285714285714
17,Przeworski+p_res_norm,31.0,6,2,2,32.0,26,26,25,25.0,28.0,1.9502857142857144,1.0822857142857143
18,Przeworski+r_res_norm,7.0,0,0,0,32.0,27,26,25,26.0,30.0,3.1162857142857145,1.1211428571428572
12,Przeworski+g_res_norm,21.0,3,2,0,32.0,26,26,25,19.0,24.0,3.790285714285714,1.0962857142857143
11,Przeworski+e_peaveduc,21.0,4,2,1,31.0,26,26,25,15.0,19.0,0.5125714285714286,0.9785714285714285
86,gwf_party+ln_pwd_a,31.0,13,12,6,3.0,1,1,1,18.0,28.0,16.590857142857146,0.022571428571428572
87,gwf_party+ln_pwd_g,34.0,12,8,3,3.0,1,1,1,18.0,30.0,20.171714285714284,0.022285714285714287
88,gwf_party+ln_pwd_m,30.0,6,2,1,2.0,1,1,1,11.0,21.0,9.350285714285715,0.018285714285714287
91,gwf_party+wb_urbpop,15.0,10,5,3,8.0,1,1,0,25.0,28.0,0.0757142857142857,0.2868571428571428
85,gwf_party+l_res_norm,9.0,2,1,1,7.0,2,0,0,31.0,33.0,2.2314285714285718,0.22114285714285714
89,gwf_party+p_res_norm,33.0,6,1,1,7.0,1,0,0,25.0,29.0,2.317142857142857,0.26371428571428573
90,gwf_party+r_res_norm,8.0,0,0,0,7.0,1,0,0,28.0,30.0,2.632857142857143,0.24485714285714286
84,gwf_party+g_res_norm,23.0,2,2,1,7.0,0,0,0,17.0,27.0,3.9125714285714284,0.2377142857142857
83,gwf_party+e_peaveduc,20.0,3,1,1,8.0,1,0,0,13.0,22.0,0.4908571428571428,0.2302857142857143
66,gwf_military+ln_pwd_a,30.0,12,12,6,21.0,7,6,2,20.0,28.0,16.449714285714286,0.19599999999999998
67,gwf_military+ln_pwd_g,33.0,10,7,2,19.0,6,5,2,18.0,28.0,19.995428571428572,0.18314285714285714
68,gwf_military+ln_pwd_m,28.0,2,1,1,21.0,6,5,2,9.0,18.0,9.015428571428572,0.184
71,gwf_military+wb_urbpop,15.0,9,6,4,6.0,0,0,0,24.0,27.0,0.07628571428571429,0.10057142857142858
65,gwf_military+l_res_norm,9.0,2,1,1,5.0,0,0,0,31.0,33.0,2.285714285714285,0.06428571428571428
69,gwf_military+p_res_norm,33.0,3,2,1,6.0,0,0,0,24.0,29.0,2.296285714285714,0.07571428571428572
70,gwf_military+r_res_norm,8.0,0,0,0,5.0,0,0,0,25.0,30.0,2.681428571428571,0.06571428571428571
64,gwf_military+g_res_norm,26.0,8,4,1,5.0,0,0,0,21.0,28.0,4.030285714285714,0.07228571428571429
63,gwf_military+e_peaveduc,20.0,3,1,1,6.0,0,0,0,13.0,22.0,0.5008571428571429,0.06857142857142857
76,gwf_monarchy+ln_pwd_a,29.0,12,11,6,5.0,5,3,3,20.0,27.0,16.342000000000002,0.12857142857142856
77,gwf_monarchy+ln_pwd_g,33.0,9,7,2,6.0,5,4,3,18.0,29.0,19.627142857142857,0.05828571428571429
78,gwf_monarchy+ln_pwd_m,28.0,1,1,1,5.0,3,3,2,10.0,19.0,8.828285714285714,0.037142857142857144
81,gwf_monarchy+wb_urbpop,17.0,10,6,4,21.0,8,5,3,23.0,29.0,0.07685714285714286,0.3697142857142857
75,gwf_monarchy+l_res_norm,9.0,1,1,1,21.0,8,5,3,29.0,33.0,1.8325714285714285,0.3508571428571428
79,gwf_monarchy+p_res_norm,33.0,4,2,1,22.0,11,7,5,25.0,30.0,2.1345714285714283,0.3871428571428571
80,gwf_monarchy+r_res_norm,8.0,1,0,0,23.0,8,7,4,28.0,31.0,2.782,0.3762857142857143
74,gwf_monarchy+g_res_norm,25.0,6,2,1,22.0,9,6,3,19.0,29.0,4.133714285714286,0.3731428571428571
73,gwf_monarchy+e_peaveduc,19.0,3,1,1,25.0,8,7,3,12.0,22.0,0.48828571428571427,0.3922857142857143
96,gwf_personal+ln_pwd_a,29.0,11,10,5,5.0,0,0,0,19.0,24.0,15.892000000000001,0.13285714285714287
97,gwf_personal+ln_pwd_g,31.0,8,5,2,5.0,0,0,0,11.0,24.0,18.064,0.12742857142857142
98,gwf_personal+ln_pwd_m,22.0,1,1,1,4.0,0,0,0,9.0,16.0,7.860571428571428,0.12742857142857142
101,gwf_personal+wb_urbpop,19.0,15,9,4,3.0,1,0,0,24.0,30.0,0.07914285714285714,0.042
95,gwf_personal+l_res_norm,9.0,2,1,1,3.0,1,1,0,28.0,33.0,2.361142857142857,0.05028571428571429
99,gwf_personal+p_res_norm,28.0,3,1,1,3.0,1,0,0,23.0,27.0,2.0148571428571427,0.05828571428571429
