model,bhp,pp100,pp050,pp010,pp001,bhw,pw100,pw050,pw010,pw001,m3_win_bic,m3_win_aic,meanbetap,meanbetaw,bhp,pp100,pp050,pp010,pp001,bhw,pw100,pw050,pw010,pw001,m3_win_bic,m3_win_aic
Dem6+wb_urbpop,16,11,8,4,3,32,28,28,27,25,14,15,0.088,1.219714286,46%,31%,23%,11%,9%,91%,80%,80%,77%,71%,40%,43%
Dem6+l_res_norm,6,3,2,1,1,32,29,28,27,25,4,6,2.517714286,1.236857143,17%,9%,6%,3%,3%,91%,83%,80%,77%,71%,11%,17%
Dem6+p_res_norm,25,3,1,0,0,32,28,28,26,25,16,24,2.044285714,1.187142857,71%,9%,3%,0%,0%,91%,80%,80%,74%,71%,46%,69%
Dem6+r_res_norm,7,0,0,0,0,32,29,28,27,25,3,4,2.199714286,1.241714286,20%,0%,0%,0%,0%,91%,83%,80%,77%,71%,9%,11%
Dem6+g_res_norm,20,5,3,0,0,32,28,28,27,25,15,18,4.392285714,1.208285714,57%,14%,9%,0%,0%,91%,80%,80%,77%,71%,43%,51%
Dem6+e_peaveduc,19,6,5,1,0,31,28,28,26,25,5,8,0.607428571,1.095142857,54%,17%,14%,3%,0%,89%,80%,80%,74%,71%,14%,23%
e_boix_regime+ln_pwd_a,29,5,3,2,2,32,22,18,11,6,12,20,11.38942857,0.514,83%,14%,9%,6%,6%,91%,63%,51%,31%,17%,34%,57%
e_boix_regime+ln_pwd_g,26,2,2,1,0,32,22,18,11,7,11,19,12.438,0.552571429,74%,6%,6%,3%,0%,91%,63%,51%,31%,20%,31%,54%
e_boix_regime+ln_pwd_m,27,1,0,0,0,32,22,17,11,7,11,22,4.616,0.564285714,77%,3%,0%,0%,0%,91%,63%,49%,31%,20%,31%,63%
e_boix_regime+wb_urbpop,16,11,10,5,3,30,28,28,27,24,14,16,0.081142857,1.251714286,46%,31%,29%,14%,9%,86%,80%,80%,77%,69%,40%,46%
e_boix_regime+l_res_norm,7,2,1,1,1,31,29,28,27,25,6,7,2.287428571,1.312,20%,6%,3%,3%,3%,89%,83%,80%,77%,71%,17%,20%
e_boix_regime+p_res_norm,31,4,0,0,0,30,28,28,27,25,23,25,2.096,1.261714286,89%,11%,0%,0%,0%,86%,80%,80%,77%,71%,66%,71%
e_boix_regime+r_res_norm,6,0,0,0,0,30,29,28,27,25,4,4,1.884571429,1.301714286,17%,0%,0%,0%,0%,86%,83%,80%,77%,71%,11%,11%
e_boix_regime+g_res_norm,20,4,1,1,0,30,28,28,27,25,13,17,4.168285714,1.272285714,57%,11%,3%,3%,0%,86%,80%,80%,77%,71%,37%,49%
e_boix_regime+e_peaveduc,22,5,3,1,0,30,27,27,27,25,6,11,0.565428571,1.191714286,63%,14%,9%,3%,0%,86%,77%,77%,77%,71%,17%,31%
