Outcome,OutcomeCategory,Stat,W4+g_res_norm,W4+g_res_norm/W4,W4+g_res_norm/g_res_norm,W4+l_res_norm,W4+l_res_norm/W4,W4+l_res_norm/l_res_norm,W4+ln_pwd_a,W4+ln_pwd_a/W4,W4+ln_pwd_a/ln_pwd_a,W4+ln_pwd_g,W4+ln_pwd_g/W4,W4+ln_pwd_g/ln_pwd_g,W4+ln_pwd_m,W4+ln_pwd_m/W4,W4+ln_pwd_m/ln_pwd_m,W4+p_res_norm,W4+p_res_norm/W4,W4+p_res_norm/p_res_norm,W4+r_res_norm,W4+r_res_norm/W4,W4+r_res_norm/r_res_norm,W4+wb_urbpop,W4+wb_urbpop/W4,W4+wb_urbpop/wb_urbpop
PrivateorPublicGoods,EndogPublicGoods,AIC,15498.75,15501.72,15821.73,15415.34,15501.72,15713.55,1973.3,1972.76,2420.35,1959.47,1972.76,2412.98,1960.39,1972.76,2415.68,15501.47,15501.72,15817.62,15503.66,15501.72,15828.43,17371.3,17369.28,17677.55
PrivateorPublicGoods,EndogPublicGoods,BIC,15952.06,15947.96,16267.97,15868.65,15947.96,16159.79,2120.06,2113.42,2561.0,2106.23,2113.42,2553.64,2107.15,2113.42,2556.34,15954.77,15947.96,16263.86,15956.97,15947.96,16274.67,17827.86,17818.72,18127.0
PrivateorPublicGoods,EndogPublicGoods,loglike,-7684.9,-7687.4,-7847.41,-7643.2,-7687.4,-7793.32,-962.47,-963.22,-1187.01,-955.56,-963.22,-1183.33,-956.02,-963.22,-1184.68,-7686.26,-7687.4,-7845.36,-7687.36,-7687.4,-7850.76,-8621.2,-8621.21,-8775.34
PublicGood,EndogPublicGoods,betaw,,0.24,,,0.24,,,0.15,,,0.15,,,0.15,,,0.24,,,0.24,,,0.25,
PublicGood,EndogPublicGoods,betap,0.09,,0.12,-0.14,,-0.19,0.1,,0.11,0.09,,0.12,0.09,,0.11,0.01,,0.06,-0.05,,-0.08,0.0,,0.0
PublicGood,EndogPublicGoods,tstatw,,7.96,,,7.96,,,4.32,,,4.32,,,4.32,,,7.96,,,7.96,,,8.32,
PublicGood,EndogPublicGoods,tstatp,1.88,,1.7,-1.12,,-1.41,1.83,,2.01,0.89,,1.15,1.43,,1.66,0.38,,1.18,-0.68,,-1.05,1.87,,2.63
PublicGood,EndogPublicGoods,AIC,-25134.96,-25088.24,-23316.23,-25233.4,-25088.24,-23465.02,-15649.92,-15636.42,-15363.8,-15639.96,-15636.42,-15356.79,-15645.8,-15636.42,-15365.98,-25088.94,-25088.24,-23291.4,-25098.44,-25088.24,-23283.43,-24624.92,-24545.48,-22971.01
PublicGood,EndogPublicGoods,BIC,-24681.72,-24642.07,-22870.06,-24780.16,-24642.07,-23018.85,-15503.16,-15495.76,-15223.14,-15493.2,-15495.76,-15216.13,-15499.05,-15495.76,-15225.32,-24635.7,-24642.07,-22845.22,-24645.2,-24642.07,-22837.25,-24168.64,-24096.32,-22521.85
PublicGood,EndogPublicGoods,loglike,12631.95,12607.58,11721.57,12681.17,12607.58,11795.97,7849.14,7841.37,7705.06,7844.16,7841.37,7701.56,7847.08,7841.37,7706.15,12608.94,12607.58,11709.16,12613.69,12607.58,11705.17,12376.91,12336.17,11548.94
PublicWantCommonGood,EndogPublicGoods,betaw,,3.98,,,3.98,,,5.27,,,5.27,,,5.27,,,3.98,,,3.98,,,4.0,
PublicWantCommonGood,EndogPublicGoods,betap,-0.26,,0.14,-0.75,,-1.52,-2.19,,-2.05,-4.31,,-3.4,-2.03,,-1.11,0.22,,0.92,-0.98,,-1.56,0.0,,0.01
PublicWantCommonGood,EndogPublicGoods,tstatw,,17.76,,,17.76,,,7.09,,,7.09,,,7.09,,,17.76,,,17.76,,,18.82,
PublicWantCommonGood,EndogPublicGoods,tstatp,-0.64,,0.2,-1.79,,-3.67,-1.68,,-1.51,-1.81,,-1.33,-1.42,,-0.65,0.97,,2.04,-3.3,,-3.41,0.63,,2.11
