Outcome,OutcomeCategory,Stat,W4+g_res_norm,W4+g_res_norm/W4,W4+g_res_norm/g_res_norm,W4+l_res_norm,W4+l_res_norm/W4,W4+l_res_norm/l_res_norm,W4+ln_pwd_a,W4+ln_pwd_a/W4,W4+ln_pwd_a/ln_pwd_a,W4+ln_pwd_g,W4+ln_pwd_g/W4,W4+ln_pwd_g/ln_pwd_g,W4+ln_pwd_m,W4+ln_pwd_m/W4,W4+ln_pwd_m/ln_pwd_m,W4+p_res_norm,W4+p_res_norm/W4,W4+p_res_norm/p_res_norm,W4+r_res_norm,W4+r_res_norm/W4,W4+r_res_norm/r_res_norm,W4+wb_urbpop,W4+wb_urbpop/W4,W4+wb_urbpop/wb_urbpop
Transparency,OtherMeasures,betap,1.72,,1.95,2.65,,2.38,3.5,,3.25,7.7,,7.87,1.13,,1.5,0.78,,1.07,2.31,,1.75,-0.03,,-0.02
Transparency,OtherMeasures,tstatw,,1.81,,,1.81,,,2.34,,,2.34,,,2.34,,,1.81,,,1.81,,,1.8,
Transparency,OtherMeasures,tstatp,0.79,,0.87,1.03,,0.92,1.03,,0.93,1.33,,1.32,0.24,,0.31,1.12,,1.48,0.76,,0.61,-1.59,,-1.47
Transparency,OtherMeasures,AIC,10716.8,10724.73,10781.32,10672.67,10724.73,10751.08,2395.35,2396.26,2402.42,2393.92,2396.26,2400.4,2398.12,2396.26,2404.63,10718.39,10724.73,10778.18,10711.82,10724.73,10785.48,10645.3,10666.0,10716.74
Transparency,OtherMeasures,BIC,10934.43,10936.16,10992.75,10890.3,10936.16,10962.51,2473.02,2468.77,2474.93,2471.59,2468.77,2472.91,2475.79,2468.77,2477.14,10936.02,10936.16,10989.61,10929.45,10936.16,10996.91,10862.63,10877.15,10927.88
Transparency,OtherMeasures,loglike,-5323.06,-5328.05,-5356.34,-5301.0,-5328.05,-5341.22,-1182.49,-1183.97,-1187.05,-1181.78,-1183.97,-1186.04,-1183.88,-1183.97,-1188.16,-5323.86,-5328.05,-5354.77,-5320.57,-5328.05,-5358.42,-5287.31,-5298.68,-5324.05
Vaccination,OtherMeasures,betaw,,-7.88,,,-7.88,,,1.25,,,1.25,,,1.25,,,-7.88,,,-7.88,,,-8.46,
Vaccination,OtherMeasures,betap,16.53,,15.2,29.84,,31.51,11.94,,11.94,-25.68,,-25.48,-34.25,,-33.94,12.1,,10.33,15.37,,16.71,-0.01,,-0.03
Vaccination,OtherMeasures,tstatw,,-1.44,,,-1.44,,,0.27,,,0.27,,,0.27,,,-1.44,,,-1.44,,,-1.54,
Vaccination,OtherMeasures,tstatp,1.44,,1.21,3.48,,3.6,0.76,,0.76,-1.24,,-1.23,-2.76,,-2.77,1.95,,1.57,1.44,,1.61,-0.08,,-0.17
Vaccination,OtherMeasures,AIC,45217.0,45229.07,45247.87,45142.34,45229.07,45159.77,21379.85,21381.32,21378.17,21375.89,21381.32,21374.33,21353.44,21381.32,21352.23,45196.21,45229.07,45233.98,45215.5,45229.07,45241.34,45594.32,45592.39,45626.86
Vaccination,OtherMeasures,BIC,45511.01,45516.42,45535.22,45436.35,45516.42,45447.11,21526.23,21521.63,21518.48,21522.28,21521.63,21514.64,21499.83,21521.63,21492.53,45490.21,45516.42,45521.32,45509.51,45516.42,45528.68,45888.66,45880.06,45914.53
Vaccination,OtherMeasures,loglike,-22564.16,-22571.22,-22580.62,-22526.84,-22571.22,-22536.56,-10665.74,-10667.5,-10665.92,-10663.77,-10667.5,-10664.0,-10652.54,-10667.5,-10652.95,-22553.77,-22571.22,-22573.67,-22563.42,-22571.22,-22577.35,-22752.83,-22752.88,-22770.12
